unique_id,age,age_bin,gender,race,date_of_death,city,state,latitude,longitude,highest_force,intended_force
1,24,15-24,Female,African-American/Black,2000-01-02,Sacramento,CA,38.4739487,-121.4337757,Vehicle,Pursuit
2,53,35-54,Male,Race unspecified,2000-01-02,Ellenwood,GA,33.645164,-84.2294129,Gunshot,Deadly force
3,23,15-24,Male,Race unspecified,2000-01-05,Pontiac,IL,40.8736874,-88.6428061,Gunshot,Deadly force
4,45,35-54,Male,African-American/Black,2000-01-05,Dothan,AL,31.2232313,-85.3904888,Gunshot,Deadly force
5,20,15-24,Male,African-American/Black,2000-01-05,Atlanta,GA,33.7527031,-84.3811976,Beaten/Bludgeoned with instrument,Less-than-lethal force
6,19,15-24,Male,European-American/White,2000-01-06,York,NE,40.8768273,-97.5958161,Gunshot,Deadly force
7,23,15-24,Male,Race unspecified,2000-01-06,Charlotte,NC,35.2390502,-80.9183189,Gunshot,Deadly force
8,31,25-34,Male,Race unspecified,2000-01-06,Muscoy,CA,34.1579411,-117.3616521,Gunshot,Deadly force
9,28,25-34,Male,Race unspecified,2000-01-07,Lucasville,OH,38.9106485,-82.92493,Gunshot,Suicide
10,28,25-34,Male,Race unspecified,2000-01-07,Downey,CA,33.9156779,-118.1250809,Beaten/Bludgeoned with instrument,Less-than-lethal force
11,35,35-54,Male,Race unspecified,2000-01-09,Savannah,GA,31.98979,-81.076158,Gunshot,Deadly force
12,20,15-24,Male,Race unspecified,2000-01-09,Salt Lake City,UT,40.7335115,-111.8712754,Vehicle,Pursuit
13,24,15-24,Male,Race unspecified,2000-01-09,Moreno Valley,CA,33.9250804,-117.2497956,Gunshot,Deadly force
14,26,25-34,Male,African-American/Black,2000-01-10,Bala Cynwyd,PA,40.0001546,-75.2287372,Gunshot,Deadly force
15,17,15-24,Male,Race unspecified,2000-01-11,Tampa,FL,28.0660332,-82.4361586,Gunshot,Deadly force
16,49,35-54,Male,African-American/Black,2000-01-11,Midwest City,OK,35.4496763,-97.3884482,Vehicle,Pursuit
17,35,35-54,Male,Race unspecified,2000-01-12,Garland,TX,32.9187447,-96.6522267,Gunshot,Deadly force
18,50,35-54,Female,Race unspecified,2000-01-13,Jackson,MS,32.3557899,-90.1419362,Vehicle,Pursuit
19,44,35-54,Male,European-American/White,2000-01-13,Phoenix,AZ,33.476923,-112.111356,Gunshot,Deadly force
20,41,35-54,Male,Hispanic/Latino,2000-01-14,Modesto,CA,37.6686407,-120.9916252,Gunshot,Deadly force
21,43,35-54,Male,European-American/White,2000-01-14,Colby,KS,39.3649589,-101.0524,Gunshot,Suicide
22,25,25-34,Male,Hispanic/Latino,2000-01-15,North Tustin,CA,33.7599836,-117.7923329,Gunshot,Deadly force
23,21,15-24,Male,European-American/White,2000-01-17,Reno,NV,39.5277048,-119.8074243,Gunshot,Deadly force
24,17,15-24,Male,Race unspecified,2000-01-17,Joliet,IL,41.5138667,-88.0727955,Vehicle,Vehicle
25,28,25-34,Male,European-American/White,2000-01-17,Astoria,NY,40.7684716,-73.9184722,Gunshot,Deadly force
26,35,35-54,Male,Race unspecified,2000-01-19,Atlanta,GA,33.6727766,-84.385959,Gunshot,Deadly force
27,26,25-34,Male,Race unspecified,2000-01-20,Phoenix,AZ,33.6407755,-111.9961723,Gunshot,Deadly force
28,34,25-34,Male,Race unspecified,2000-01-21,Kansas City,MO,39.2210388,-94.634497,Gunshot,Deadly force
29,32,25-34,Male,Race unspecified,2000-01-21,Sumner,ME,44.3660924,-70.4222002,Gunshot,Deadly force
30,14,0-14,Male,Race unspecified,2000-01-22,Benton,AR,34.6066939,-92.5340676,Vehicle,Pursuit
31,31,25-34,Male,European-American/White,2000-01-22,Phoenix,AZ,33.641526,-112.089133,Gunshot,Deadly force
32,29,25-34,Male,Race unspecified,2000-01-26,Columbus,OH,39.9313393,-82.9958454,Gunshot,Deadly force
33,18,15-24,Male,Native American/Alaskan,2000-01-27,Albuquerque,NM,35.1527206,-106.5880844,Vehicle,Pursuit
34,28,25-34,Male,Asian/Pacific Islander,2000-01-28,Waiʻanae,HI,21.378312,-158.143267,Gunshot,Suicide
35,18,15-24,Male,Race unspecified,2000-01-28,Arnold,MO,38.4370563,-90.3738351,Gunshot,Suicide
36,29,25-34,Male,African-American/Black,2000-01-28,Providence,RI,41.8242783,-71.4398076,Gunshot,Deadly force
37,15,15-24,Male,African-American/Black,2000-01-28,Jersey City,NJ,40.7036602,-74.0781321,Gunshot,Deadly force
38,26,25-34,Male,African-American/Black,2000-01-28,Oakland,CA,37.7556261,-122.1674199,Gunshot,Deadly force
39,36,35-54,Male,Hispanic/Latino,2000-01-29,Grand Island,NE,40.9091366,-98.3440391,Gunshot,Deadly force
40,23,15-24,Male,Native American/Alaskan,2000-01-29,Little,OK,35.3481286,-96.6719618,Gunshot,Deadly force
41,25,25-34,Male,Race unspecified,2000-01-29,San Diego,CA,32.7266073,-117.0717535,Gunshot,Deadly force
42,20,15-24,Male,Race unspecified,2000-01-29,Phoenix,AZ,33.4937769,-112.2139384,Gunshot,Deadly force
43,22,15-24,Female,Asian/Pacific Islander,2000-01-30,National City,CA,32.680431,-117.090553,Vehicle,Pursuit
44,35,35-54,Male,European-American/White,2000-01-31,Long Beach,CA,33.7691442,-118.1820822,Gunshot,Deadly force
45,33,25-34,Male,Race unspecified,2000-01-31,Pompano Beach,FL,26.225515,-80.095812,Gunshot,Deadly force
46,22,15-24,Male,European-American/White,2000-02-01,Picayune,MS,30.5393138,-89.7195706,Gunshot,Deadly force
47,35,35-54,Male,Race unspecified,2000-02-01,Southgate,MI,42.2136461,-83.1940987,Gunshot,Deadly force
48,35,35-54,Male,Race unspecified,2000-02-01,Southgate,MI,42.2136814,-83.1938669,Gunshot,Deadly force
49,31,25-34,Male,Race unspecified,2000-02-01,Boca Raton,FL,26.3686824,-80.1456363,Gunshot,Deadly force
50,57,55-74,Male,Race unspecified,2000-02-02,Kingston,IL,42.097677,-88.752031,Gunshot,Deadly force
51,22,15-24,Male,Hispanic/Latino,2000-02-02,Los Angeles,CA,34.0514934,-118.2008155,Gunshot,Deadly force
52,27,25-34,Female,Asian/Pacific Islander,2000-02-03,Ewa Beach,HI,21.338593,-158.0217318,Vehicle,No
53,27,25-34,Male,Asian/Pacific Islander,2000-02-03,Ewa Beach,HI,21.338593,-158.0217318,Vehicle,Deadly force
54,15,15-24,Female,Race unspecified,2000-02-03,Pittsburg,KS,37.4404216,-94.7061994,Vehicle,Pursuit
55,43,35-54,Male,Race unspecified,2000-02-03,Franklin,LA,29.792769,-91.5073084,Gunshot,Deadly force
56,26,25-34,Male,Race unspecified,2000-02-03,Laurel,MD,39.0995847,-76.857108,Gunshot,Deadly force
57,20,15-24,Female,African-American/Black,2000-02-03,San Diego,CA,32.747865,-117.1143741,Gunshot,Deadly force
58,88,75+,Male,Race unspecified,2000-02-04,Stockton,CA,37.9118938,-121.2247012,Gunshot,Deadly force
59,37,35-54,Male,Race unspecified,2000-02-05,Queens,NY,40.685478,-73.810898,Gunshot,Deadly force
60,23,15-24,Male,European-American/White,2000-02-05,Las Vegas,NV,36.175923,-115.2371049,Gunshot,Deadly force
61,40,35-54,Male,European-American/White,2000-02-05,Mather,CA,38.572804,-121.2951513,Gunshot,Suicide
62,37,35-54,Male,Race unspecified,2000-02-06,Westminster,CO,39.9363052,-105.0113116,Gunshot,Deadly force
63,25,25-34,Male,Hispanic/Latino,2000-02-07,Pico Rivera,CA,34.0053546,-118.0740818,Gunshot,Deadly force
64,85,75+,Male,Race unspecified,2000-02-07,Hemet,CA,33.747926,-116.9599159,Gunshot,Deadly force
65,48,35-54,Male,European-American/White,2000-02-07,Brooklyn Center,MN,45.0634651,-93.3018704,Vehicle,Pursuit
66,56,55-74,Male,Race unspecified,2000-02-07,Colorado Springs,CO,38.8411212,-104.7387451,Gunshot,Suicide
67,50,35-54,Male,European-American/White,2000-02-08,Montrose,CA,34.211594,-118.2316188,Gunshot,Deadly force
68,42,35-54,Male,Race unspecified,2000-02-08,San Diego,CA,32.7539193,-117.2180373,Gunshot,Deadly force
69,48,35-54,Male,African-American/Black,2000-02-09,Toledo,OH,41.66104,-83.531252,Gunshot,Deadly force
70,44,35-54,Male,Race unspecified,2000-02-10,Miami,OK,36.8713337,-94.8680991,Gunshot,Deadly force
71,24,15-24,Male,Hispanic/Latino,2000-02-11,Los Angeles,CA,34.018269,-118.2822523,Gunshot,Deadly force
72,43,35-54,Male,Race unspecified,2000-02-12,Peoria,IL,40.6678538,-89.6239771,Asphyxiated/Restrained,Less-than-lethal force
73,41,35-54,Female,African-American/Black,2000-02-14,Kansas City,MO,39.1023961,-94.5484488,Vehicle,Pursuit
74,17,15-24,Male,Race unspecified,2000-02-15,Meridian,MS,32.3643098,-88.703656,Gunshot,Deadly force
75,29,25-34,Male,African-American/Black,2000-02-15,Houston,TX,29.6683153,-95.3122362,Gunshot,Deadly force
76,27,25-34,Male,African-American/Black,2000-02-17,Peoria,IL,40.7004723,-89.5784693,Gunshot,Suicide
77,27,25-34,Male,Asian/Pacific Islander,2000-02-18,Hoyt,KS,39.2235536,-95.6544751,Gunshot,Suicide
78,20,15-24,Male,Hispanic/Latino,2000-02-18,Montebello,CA,33.9934303,-118.116267,Gunshot,Deadly force
79,43,35-54,Male,European-American/White,2000-02-18,Fresno,CA,36.8299658,-119.8511558,Gunshot,Deadly force
80,35,35-54,Male,Race unspecified,2000-02-19,Atlanta,GA,33.7246463,-84.4038462,Gunshot,Deadly force
81,35,35-54,Male,Race unspecified,2000-02-19,Healdsburg,CA,38.6104658,-122.8691609,Drowned,No
82,27,25-34,Female,European-American/White,2000-02-19,Lake Forest,CA,33.639381,-117.6796065,Gunshot,Deadly force
83,52,35-54,Male,Race unspecified,2000-02-20,Layton,UT,41.0616031,-111.9453025,Vehicle,Pursuit
84,46,35-54,Male,Race unspecified,2000-02-21,Miami,FL,25.8859021,-80.1820571,Gunshot,Deadly force
85,20,15-24,Male,Race unspecified,2000-02-21,San Diego,CA,32.7186511,-117.1578753,Gunshot,Deadly force
86,23,15-24,Male,African-American/Black,2000-02-23,St. Louis,MO,38.6560148,-90.2396068,Gunshot,Deadly force
87,29,25-34,Male,Race unspecified,2000-02-24,Clearwater,FL,27.9655835,-82.7876565,Gunshot,Deadly force
88,35,35-54,Male,Race unspecified,2000-02-24,College Park,GA,33.6424331,-84.4859979,Vehicle,Pursuit
89,42,35-54,Male,Hispanic/Latino,2000-02-26,Los Angeles,CA,34.0370853,-118.248733,Gunshot,Deadly force
90,19,15-24,Male,Race unspecified,2000-02-27,Pagedale,MO,38.6731874,-90.3122513,Gunshot,Deadly force
91,40,35-54,Male,Race unspecified,2000-02-28,Oklahoma City,OK,35.4314766,-97.4769314,Gunshot,Suicide
92,40,35-54,Male,Race unspecified,2000-02-28,Daly City,CA,37.6706214,-122.485172,Gunshot,Deadly force
93,21,15-24,Male,Race unspecified,2000-02-29,Chicago,IL,41.8126818,-87.622927,Gunshot,Deadly force
94,40,35-54,Male,Race unspecified,2000-02-29,San Diego,CA,32.955881,-117.1298553,Gunshot,Suicide
95,16,15-24,Male,European-American/White,2000-03-01,Hiawatha,KS,39.8525033,-95.5358156,Gunshot,Deadly force
96,16,15-24,Male,European-American/White,2000-03-01,La Vista,NE,41.1762668,-96.0235745,Vehicle,Pursuit
97,16,15-24,Male,Race unspecified,2000-03-01,La Vista,NE,41.1762668,-96.0235745,Vehicle,Pursuit
98,23,15-24,Male,African-American/Black,2000-03-01,Bronx,NY,40.825276,-73.877713,Gunshot,Deadly force
99,24,15-24,Male,African-American/Black,2000-03-01,New York City,NY,40.8284707,-73.9476522,Drug overdose,Undetermined
100,42,35-54,Male,Race unspecified,2000-03-02,Inman,SC,35.047741,-82.106044,Gunshot,Deadly force
101,29,25-34,Male,Race unspecified,2000-03-04,San Jose,CA,37.2818031,-121.8279775,Gunshot,Suicide
102,37,35-54,Female,Race unspecified,2000-03-05,Wood River,NE,40.8878066,-98.6078656,Vehicle,Vehicle
103,23,15-24,Male,Hispanic/Latino,2000-03-05,Houston,TX,29.7992955,-95.5172061,Gunshot,Deadly force
104,28,25-34,Female,European-American/White,2000-03-06,Santa Rosa,CA,38.4518593,-122.6191245,Vehicle,Pursuit
105,34,25-34,Male,Race unspecified,2000-03-07,Chesnee,SC,35.156905,-81.853404,Gunshot,Suicide
106,20,15-24,Male,Race unspecified,2000-03-09,Nicholls,GA,31.5174219,-82.6348602,Gunshot,Deadly force
107,74,55-74,Male,Race unspecified,2000-03-09,Pleasant Grove,AL,33.50379,-86.973961,Gunshot,Deadly force
108,35,35-54,Male,Hispanic/Latino,2000-03-09,San Diego,CA,32.5517528,-116.9358272,Gunshot,Deadly force
109,35,35-54,Male,Race unspecified,2000-03-10,Spokane,WA,47.6570362,-117.3392951,Gunshot,Deadly force
110,36,35-54,Male,Race unspecified,2000-03-12,Wentzville,MO,38.8144747,-90.8737874,Gunshot,Suicide
111,60,55-74,Male,Race unspecified,2000-03-12,St. Charles,MO,38.7695936,-90.4899216,Gunshot,Deadly force
112,34,25-34,Female,Race unspecified,2000-03-13,Columbus,OH,39.9622212,-83.0006428,Vehicle,Pursuit
113,36,35-54,Male,Native American/Alaskan,2000-03-13,Gallup,NM,35.5293676,-108.7090367,Vehicle,Pursuit
114,33,25-34,Female,Native American/Alaskan,2000-03-13,Gallup,NM,35.5293676,-108.7090367,Vehicle,Pursuit
115,1,0-14,Female,Native American/Alaskan,2000-03-13,Gallup,NM,35.5293676,-108.7090367,Vehicle,Pursuit
116,30,25-34,Male,African-American/Black,2021-01-06,Memphis,TN,35.2173267,-89.9960211,Gunshot,Deadly force
117,23,15-24,Male,African-American/Black,2000-03-14,Avondale,OH,39.1401874,-84.4936052,Gunshot,Deadly force
118,36,35-54,Male,European-American/White,2000-03-15,Kansas City,MO,39.0941639,-94.5245676,Vehicle,Pursuit
119,46,35-54,Male,Race unspecified,2000-03-15,San Bernardino,CA,34.1313887,-117.3008823,Gunshot,Deadly force
120,26,25-34,Male,African-American/Black,2000-03-16,New York City,NY,40.754091,-73.992079,Gunshot,Deadly force
121,40,35-54,Male,African-American/Black,2000-03-16,Chicago,IL,41.948123,-87.655531,Gunshot,Deadly force
122,23,15-24,Male,African-American/Black,2000-03-17,New Orleans,LA,29.9673644,-90.0424063,Gunshot,Deadly force
123,45,35-54,Male,Race unspecified,2000-03-18,Sallisaw,OK,35.4603711,-94.7874463,Gunshot,Deadly force
124,59,55-74,Male,Hispanic/Latino,2000-03-18,Camp Pendleton,CA,33.3178416,-117.3205123,Fell from a height,No
125,51,35-54,Male,Race unspecified,2000-03-19,Santa Rosa,CA,38.4006069,-122.7138386,Undetermined,Undetermined
126,36,35-54,Female,Native American/Alaskan,2000-03-21,Carnegie,OK,35.1036699,-98.6036735,Gunshot,Deadly force
127,31,25-34,Male,European-American/White,2000-03-21,Baltimore,MD,39.2862886,-76.5089608,Gunshot,Deadly force
128,35,35-54,Male,Race unspecified,2000-03-22,Pasadena,TX,29.6635277,-95.1961638,Gunshot,Deadly force
129,74,55-74,Female,Race unspecified,2000-03-22,Denver,CO,39.7383026,-104.9315471,Vehicle,Vehicle
130,69,55-74,Male,Race unspecified,2000-03-22,Denver,CO,39.7383026,-104.9315471,Vehicle,Vehicle
131,33,25-34,Male,Race unspecified,2000-03-23,Williamston,SC,34.6181701,-82.4964158,Gunshot,Deadly force
132,10,0-14,Female,European-American/White,2000-03-23,Belton,SC,34.5407853,-82.5201535,Vehicle,Pursuit
133,13,0-14,Male,Native American/Alaskan,2000-03-23,Arapahoe,WY,42.9828765,-108.6210621,Vehicle,Vehicle
