"","unique_id","age_bin","gender","race","state","population","gun_ownership","crime_per_10e6","unemploy_rate"
"1",1631,"55-74","Female","African-American/Black","KS",2913314,0.489,425,0.059
"2",12731,"25-34","Female","Race unspecified","PA",12801989,0.407,389.5,0.091
"3",13233,"25-34","Male","European-American/White","NJ",8882190,0.147,195.4,0.098
"4",14892,"25-34","Female","Hispanic/Latino","TX",28995881,0.457,446.5,0.076
"5",15060,"35-54","Female","Race unspecified","CA",39512223,0.283,442,0.101
"6",19239,"55-74","Male","African-American/Black","CA",39512223,0.283,442,0.101
"7",19551,"55-74","Female","Race unspecified","FL",21477737,0.353,383.6,0.077
"8",21859,"15-24","Female","European-American/White","PA",12801989,0.407,389.5,0.091
"9",21860,"15-24","Male","European-American/White","WA",7614893,0.421,293.7,0.084
"10",21861,"15-24","Male","European-American/White","KY",4467673,0.546,259.1,0.066
"11",22041,"35-54","Male","African-American/Black","NY",19453561,0.199,363.8,0.1
"12",23264,"25-34","Male","African-American/Black","MD",6045680,0.302,399.9,0.068
"13",24851,"25-34","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"14",25419,"35-54","Female","European-American/White","WV",1792147,0.585,355.9,0.083
"15",25514,"35-54","Male","European-American/White","OH",11689100,0.4,308.8,0.081
"16",25735,"35-54","Male","European-American/White","GA",10617423,0.492,400.1,0.065
"17",25845,"25-34","Female","African-American/Black","GA",10617423,0.492,400.1,0.065
"18",25913,"35-54","Male","African-American/Black","IL",12671821,0.278,425.9,0.095
"19",25948,"35-54","Male","Race unspecified","TN",6829174,0.516,672.7,0.075
"20",25979,"15-24","Male","Race unspecified","NV",3080156,0.473,460.3,0.128
"21",25980,"35-54","Male","Race unspecified","CA",39512223,0.283,442,0.101
"22",25982,"25-34","Male","African-American/Black","CO",5758736,0.451,423.1,0.073
"23",25983,"35-54","Male","Race unspecified","NV",3080156,0.473,460.3,0.128
"24",25984,"25-34","Male","Hispanic/Latino","TX",28995881,0.457,446.5,0.076
"25",26280,"15-24","Male","European-American/White","AR",3017804,0.572,671.9,0.061
