state,race,gender,age_bin,year,population
AL,African-American/Black,Male,0-14,2010,149023
AL,African-American/Black,Male,0-14,2011,148390
AL,African-American/Black,Male,0-14,2012,147684
AL,African-American/Black,Male,0-14,2013,146568
AL,African-American/Black,Male,0-14,2014,145704
AL,African-American/Black,Male,0-14,2015,144741
AL,African-American/Black,Male,0-14,2016,143917
AL,African-American/Black,Male,0-14,2017,143645
AL,African-American/Black,Male,0-14,2018,143998
AL,African-American/Black,Male,0-14,2019,144192
AL,African-American/Black,Male,0-14,2020,144422
AL,African-American/Black,Male,15-24,2010,105734
AL,African-American/Black,Male,15-24,2011,106220
AL,African-American/Black,Male,15-24,2012,107388
AL,African-American/Black,Male,15-24,2013,108501
AL,African-American/Black,Male,15-24,2014,107873
AL,African-American/Black,Male,15-24,2015,107017
AL,African-American/Black,Male,15-24,2016,105442
AL,African-American/Black,Male,15-24,2017,103114
AL,African-American/Black,Male,15-24,2018,100685
AL,African-American/Black,Male,15-24,2019,98553
AL,African-American/Black,Male,15-24,2020,97340
AL,African-American/Black,Male,25-34,2010,79739
AL,African-American/Black,Male,25-34,2011,80859
AL,African-American/Black,Male,25-34,2012,82145
AL,African-American/Black,Male,25-34,2013,83918
AL,African-American/Black,Male,25-34,2014,85422
AL,African-American/Black,Male,25-34,2015,87233
AL,African-American/Black,Male,25-34,2016,89183
AL,African-American/Black,Male,25-34,2017,90984
AL,African-American/Black,Male,25-34,2018,92806
AL,African-American/Black,Male,25-34,2019,94660
AL,African-American/Black,Male,25-34,2020,95693
AL,African-American/Black,Male,35-54,2010,152468
AL,African-American/Black,Male,35-54,2011,150667
AL,African-American/Black,Male,35-54,2012,149547
AL,African-American/Black,Male,35-54,2013,148915
AL,African-American/Black,Male,35-54,2014,148333
AL,African-American/Black,Male,35-54,2015,148022
AL,African-American/Black,Male,35-54,2016,147285
AL,African-American/Black,Male,35-54,2017,146114
AL,African-American/Black,Male,35-54,2018,144949
AL,African-American/Black,Male,35-54,2019,144033
